,0
81,"butorsOn My Mind LyricsI should have
I, I....
I ,I wasted on you time
You didn't mean it
Stole what was mine
I didn't need it
Now all your dreams are gone
And you are the reason
You really got me wrong
You call it treason
And I am praying for you every day
Praying to rain
On my mind
Oh I I I
And its darkness in the rain
Praying to rain
On my mind
Now maybe you were right
I couldn't feel you
Trying to be so nice
You turn peculiar
Couldn't make the move
Of what was given
Now you like the ghost
You thought was haunting
You're the dawn is still in our time
Praying to rain
On my mind hey
And its darkness in the sun heeeey
Praying to rain
On my mind
Miiiiiind on myyyyyyyyyyyy mind
Miiiiiiiind miiiiiiiind
Oooooh now oooooh heeeeey
How do you fight
When it's your mind
When it's your mind hey
Get it to rain on my mind
Get it to rain on my mind
Get it to rain
Get it to rain
Shed it away
On my mind
On my mindYou might also likeEmbe"
82,"butorNostalgia LyricsLost in the music and no one understands me
My friends, the fans, my wisdom and family
Make your heads bop
And that's not enough
Gold and platinum plaques are still not enough
From the streets of Queens I hail
Whose gonna be there if my attempts fail
Is it you, you, you, her or him?
I am like a tree and every lyric is a limb
The studio sessions, pain on paper
In the other studio records Large Pro
In between verses we break bread
The beats, the rhymes, ways to get ahead
School days, Stanley Clark
Grandmaster Vic live at Paisely Park
Coke adds life, it blared out the speakers
Blue and white hi-tops (?) sneakers
My name in grafitti
(?) x-men
A crew of known writers
At the time was my best friends
Black books, designers, the smell of Krylon
Bus to the terminal to meet up with Driptron
Its a Queens thing

Yeah
Uh huh
Word word
Everything has its wonders
The darkness and silence
And I learned
Whatever state I may be in
There in to be continued
You might also likeSome hit the books
Others hit the blocks
I create beats, he's got a jumpshot
Freddie's on the corner drinking 180 proff
Cause his pregnant niece jumped from the project roof
Another family mourns, absence of malice
A woman give birth, fertility, earth
I formulate the rhyme and chop it up in sections
Let me be your angle and I'll be your protection
Concrete jungle, fly like a dove
Bernard Wright record title who do you love
Manchild in the ghetto, my father loved jazz
Quincy Jones summertime, razzamatazz
It played from an 8-track, night train, thunderbird
Sip from a plastic cup

Word word
Word
The marvelous richness of human experience
Eludes something of avoiding joy
If there were no limitations to overcome
The hilltop hour would not be half so wonderful
If there were no dark valleys to traverse
NostalgiaEmbe"
83,"butorFill My Heart / Reprise - Live at Village Church Lyrics[Intro]
Let's sing that bridge together one more time
Fill my heart with wonder
For behold, the Lamb has come
Let's just take a second and think about that
Fill our hearts with wonder
See, He is coming back one day
That is the hope in this entire life that our King is returning
But how often is our heart filled with wonder?
As I was singing, I was thinking
One thing that is always interesting in worship song is, it's just like yelling or singing woes or o's
It's kind of strange and some people don't like it and some people really like it
But you think about when you get excited about something
Sometimes you need to let it out a little bit
And is out heart filled with wonder for when our King returns?
And it brings us to this place of just wanting to shout it from the mountain tops
Wanting to tell everyone we know that Jesus saves, no one else can
No one else would even want to
'Cause He is perfect
So, let's sing that together

[Chorus]
For behold, the Lamb has come
Oh the mountains surrender
For behold, the Lamb has come
You might also like[Chorus]
Fill my heart with wonder
For behold, the Lamb has come
Oh the mountains surrender
For behold, the Lamb has, now you sing it this time

[Chorus]
Fill my heart with wonder
For behold, the Lamb has come
Oh the mountains surrender
For behold, the Lamb has come

[Chorus]
Fill my heart with wonder
For behold, the Lamb has come
Oh the mountains surrender
For behold, the Lamb has come (so, rejoice!)

[Bridge]
So rejoice in what he's done
For Messiah, He has come
Fill my heart with wonder
For behold, the Lamb has come

[Chorus]
Oh oh oh oh
Oh oh oh oh oh oh
Oh oh oh oh
Oh oh oh oh oh oh oh oh
[Chorus]
(One more time, just our voices, fill my heart)
Fill my heart with wonder
For behold, the Lamb has come
Oh the mountains surrender
For behold, the Lamb has come

[Chorus]
Fill my heart with wonder
For behold, the Lamb has come
Oh the mountains surrender
For behold, the Lamb has come
ComeEmbe"
84,"butorHe’s Coming Soon LyricsHe's coming soon
He's coming soon
Working and waiting
Oh, come, there's still room
No man knows the hour
When we'll see the groom
Soon coming for His Bride
He's coming soon

Mary, don't weep
Dear mother, why moan?
You say that I'm too late
And I say you're wrong
Just show me where He lies
And He'll rise from the tomb
And when He cracks the sky
We all shall rise too

Oh, He's coming soon
Yes, He's coming soon
Just working and waiting
Oh, come, there's still room
No man knows the hour
(Nobody knows)
When we'll see the grom
Soon coming for His Bride
Yes, He's coming soon
Oh, Lord
You might also likeSo tell all my people
These are the last days
This heaven and earth
Shall soon pass away
So those who are chosen
Must work while it's day
The harvest is plenty
So please don't delay

See, there's walls of jasper
And the streets paved with gold
A mansion for all
Where we'll never ever grow old
It's a land of milk and honey
With white pearly gates
Hey, we'll live there forever
Oh, and there's not long to wait

'Cause He's coming soon
Oh, He's coming soon
Just working and waiting
Oh, come, there's still room
No man knows the hour
(Nobody knows)
When we'll see the groom
Soon coming for His Bride
Oh, He's coming for His bride
(You be ready)
Oh, He's coming
Nobody knows
Oh, nobody knows
I said, nobody knows
Better be ready
Better get ready
He's on his way
Yes, He is, hey!
I can see Him in the clouds
Coming through one day
We don't have long
We don't have long
Oh. let's get ready

Coming for His Bride, oh...
He's coming for His Bride
And He's coming soon

He's coming soon
He's coming soon
Coming for His Bride
He's coming soonEmbe"
85,"butorHustle LyricsHustle Lyrics

Intro:
Hustle hustle hustle oo oo x2 (yeah yeah yeah background)
Can you hear me?
Hear me out, hear me out y'all

Verse 1:
The cleanest style with dirty beats on the file I got you yakkin up bile been very ill for some while
Said I got that flow and I know been swimming the Nile for so many fuckin miles defying these crocodiles
I'm every inch on the dial so versatile I put these people on other shit- take a hop on the pile
Don't need that calculus do the math I'm immaculate craft a kick a clap a hat and then a melody matchin it I told you I was Dracula when it came to this niche I'm bound to get that cake and then sink my teeth I'm the back of it
Run it down in the sewers acing a marathon- Underground prodigy proph3cy hit the finish line
Way before you- but surely I assure you- I'm more than paranormal please don't compare me to mortals
Scramble samples and cook a beat on my panel
Then i scortch a sixteen bars- hot as our mantle
Credit idols eventually that I'll meet ima breath this heat that I speak if you hear it hit me a tweet and I know my lyrics are deep as my meat inside of a freak coulda let me skeet on the sheet but she seperated her teeth- Knew that anything I produce is known to be sweet
Strap my con-verse on my feet- after beat I ain't got a lot time of time on my hands- so understand- I ain't joinin fraternity man- I got a plan

Chorus:
Hustle hustle hustle oo oo x2 (yeah yeah yeah background)
Hustle

Verse 2:
How many more syllables I gotta rhyme together to make em mention i'm better than any rapper with cheddar
Lemme make it known  i been restricted to letters that you abuse your records I never delt with borettas
Skin color and weapons just ain't in my preference- so If thats what your lookin for look another direction
Know what I'm sayin- i'm high minded and topical like a bottle of hemp on your follicles fake rappers
I'm just another obstacle another hot summer without a popsicle pain in the ass audiological
With  drive of several cylinders hittin optimal speeds- My tank is droppin to E- still gassin
Runnin outta air gotta breath  Ill gasping he want it just as bad as he wanna live ask him
Humpin in the back of this bitch and He still lastin- guess He gave a fuck about about blowin up in his passion
Plus i'm meaner than misdimeanor reactions- Once i bump it up from infraction on this faction
It's the year I'm declaring ultimate action- gimme that award I'm a warrior for my past shit
Let my story unravel a little past his
Ill narrate it but I might make a few classics
In the process supply my fuel and ill lock it inside my chamber then cock it pop it and hit ya back on the dotted
You might also likeBridge:
True, No lie ya'll
This is all for (background yeah yeah yeah...)
You
Hustle, hustle, hustle


Verse 3:
And With a pen I can penetrate any soul- emphasizing my struggle in bold- I got goals but
It's so cold up
In this globe bruh
Feel like some of my homies turnin to cobras
Straight snakes- I play my newest shit for ya
And I swear it a put you into euphoria
But when it's over you down play like it ain't and I need support from these people put confidence in my tape
Maybe it hits a little deeper than me maybe you afraid of your future but see me sailin the seas
And Cuz I'm hot this is true up to a degree but my team should know who they are you'll be on the tour guaranteed
Poppin bottles while woman poppin with their pussies we bring em back to the telly and famous amous their  cookies
I won't get too far ahead of myself it's a patient ride for the wealth if you couldn't already tell I'm about that

Chorus:
Hustle hustle hustle oo oo x2 (Yeah yeah yeah background)
I've been on this hustle everyday (Every single day)Embe"
86,1
87,"
She stares at her ceiling once again with a hundred thoughts
""Maybe he knows who I am, probably not""
She walks down the hall with her head down low, scared to meet his eyes
Even when she hears his voice, she's swarmed with butterflies

[Chorus]
It's impossible to get you off my mind
I think about a hundred thoughts and you are ninety-nine
I've understood that you will never be mine
And that's fine, I'm just breaking inside

"
88,"butorsFrom The Depths Of Woe (Psalm 130) Lyrics[Verse 1: Andrew Osenga & Emily Deloach]
From the depths of woe I raise to Thee
A voice of lamentation
Lord, turn a gracious ear to me
And hear my supplication
If Thou iniquities dost mark
Our secret sins and misdeeds dark
O who shall stand before Thee?
Who shall stand before Thee?
Who shall stand before Thee?
Who shall stand before Thee?

[Verse 2: Both, Andrew Osenga &  Emily Deloach]
To wash away the crimson stain
Grace, grace alone availeth
Our works, alas! are all in vain
In much the best life faileth
No man can glory in Thy sight
All must alike confess Thy might
And live alone by mercy
Live alone by mercy
And live alone by mercy
Live alone by mercy

[Verse 3: Both, Andrew Osenga &  Emily Deloach]
Therefore my trust is in the Lord
And not in mine own merit
On Him my soul shall rest
His word upholds my fainting spirit
His promised mercy is my fort
My comfort and my sweet support
I wait for it with patience
Wait for it with patience
I wait for it with patience
Wait for it with patience
You might also like[Verse 4: Both, Andrew Osenga &  Emily Deloach]
What though I wait the live-long night
And till the dawn appeareth
My heart still trusteth in His might
It doubeth not nor feareth
Do thus, O ye of Israel's seed
Ye of the Spirit born indeed
And wait till God appeareth
Wait till God appeareth
And wait till God appeareth
Wait till God appeareth

[Verse 5: Both, Andrew Osenga & Emily Deloach]
Though great our sins and sore our woes
His grace much more aboundeth
His helping love no limit knows
Our upmost need it soundeth
Our Shepherd good and true is He
Who will at last His Israel free
From all their sin and sorrow
All their sin and sorrow
From all their sin and sorrow
All their sin and sorrow
From all their sin and sorrow
All their sin and sorrow
[Outro: Both/Choir, Andrew Osenga & Emily Deloach]
(All their) All their sin and sorrow
All their sin and sorrow (yeah)
All their sin and sorrow (sin and sorrow)
All their sin and sorrow (sorrow)
All their sin and sorrow
All their sin and sorrow (all their, all their)
All their sin and sorrow
All their sin and sorrow (yeah)
And sorrowEmbe"
89,"ibutorsCount Your Blessings Lyrics[Chorus: Damian Marley]
And I've got studios to voice in
And I've got news for rejoicing
Now a new sun is rising
I count my blessings
That I'm safe when I'm resting
Furniture in my nesting
Not by force, I'm suggesting
You count your blessings
I've got love and assurance
I've got new heath insurance
I've got strength and endurance
So I count my blessings
And give thanks to the master
That through all the disaster
We're still here together after
Better count your blessings

[Verse 1: Nas]
Count yo' blessings
'Cause yo, this year, can't wait 'til he gets here
7/21/09, my first son will shine
And it's amazing, I'm about to be raising
Another made man, and like his dad they'll praise him
And some will hate him just 'cause we're building a nation
Like Bob did with Damian, the world will embrace him
Girls will chase him, foresee they will not break him
And when I'm not around, you look for God and thank him
You might also like[Chorus: Damian Marley]
And I've got somewhere to dress for
And I've got no need to stress for
And so I'll always put my best forth
And count my blessings
And there'll be no need for tissues
Cause there'll be no further issues
If you've got someone who miss you
Man, count your blessings
And I've got love and assurance
And I've got new health insurance
And I've got strength and endurance
So I count my blessings
And give thanks to the master
That through all the disaster
We're still here together after
Better count your blessings
[Verse 2: Nas]
You're wishing you were sitting in the top position
Picture perfect, nothing less 'cause you deserve it
Without the Hermes, you never hurting
You knew that you was destined for greatness for certain
But see the overzealous, they be thirsting, caught up in emotion
You're keeping your composure like Gershwin
Songs by Earth, Wind, keep you in a zone writing verses
So when your pockets light, know that you have a heavy purpose
[Chorus: Damian Marley]
We've got pre-school and day care
We've got pension and well-fare
And though not all will play the game fair
Still I count my blessings
I've got joy in abundance
I've got life full of substance
I've got meetings and functions
So I count my blessings
I've got something to live for
I've got surplus to give more
And we're all welcome through his door
So I count my blessings
And give thanks to the master
That through all the disaster
We're still here together after
So I count your blessings

[Verse 3: Nas]
Yeah, yeah
I think you're looking too hard for it
Want the double R under your garage door
Appreciate the things you work hard for
And count your blessing, count your blessings
So don't be mad if you ain't fly y'all
You got the means to reach the level I'm on
You should know that there's only one Nas y'all
But count your blessing, count your blessing, rah!
[Chorus: Damian Marley]
And I've got studios to voice in
And I've got news for rejoicing
Now a new son is rising
I count my blessings
That I'm safe when I'm resting
Furniture in my nesting
Not by force, I'm suggesting
You count your blessings
I've got love and assurance
I've got new health insurance
I've got strength and endurance
So I count my blessings
And give thanks to the master
That through all the disaster
We're still here together after
Better count your blessings9Embe"
90,"ibutorsTiimmy Turner (Remix) Lyrics[Chorus: Desiigner]
Tiimmy, Tiimmy, Tiimmy Turner
He was wishin' for a burner
To kill everybody walkin'
He knows that his soul in the furnace
Fuck bitch on BET
Have her walkin', she fuckin' for BET
Wildin' for wallet
Kill everybody walkin'
He knows that his soul in the furnace
Tiimmy, Tiimmy, Tiimmy Turner
He was wishin' for a burner
To kill everybody walkin'
He knows that his soul in the furnace
Fuck bitch on BET
Have her walkin', she fuckin' for BET
Wildin’ for wallet
Kill everybody walkin'
He knows that his soul in the furnace
Tiimmy, Tiimmy, Tiimmy Turner

[Verse: Kanye West & Desiigner]
Born in the nation that breeded us (Tiimmy)
Why they don't never show me the love?
Jesus Shuttlesworth, I lead the squad
Walk on water while I feed the sharks
Everybody just got made alert (Tiimmy)
You might get killed on your way to work
Everyone seen it in broad day
Nobody feelin' that paperwork
Nobody cared, that just made it worse (Tiimmy)
All of the talkin' just made it worse
Tiimmy, Tiimmy, Tiimmy, too turnt up
Grab the burner, leave the block burnt up
Now look what you made me do
Look who you made me shoot
Don't ask for help from dude
That nigga crazy too
I'm the new Steve, mixed with Ali
'Bout to get freed, I'm the new Walt
Fuck what you thought
Man fuck all of y'all
Cause Tiimmy, Tiimmy, Tiimmy, too turnt up
Grab the burner, leave the block burnt up
Grab the burner, leave the block burnt up
You might also like[Chorus: Desiigner]
Tiimmy, Tiimmy, Tiimmy Turner
He was wishin' for a burner
To kill everybody walkin'
He knows that his soul in the furnace
Fuck bitch on BET
Have her walkin', she fuckin' for BET
Wildin' for wallet
Kill everybody walkin'
He knows that his soul in the furnace (Git, git, git)
Tiimmy, Tiimmy, Tiimmy Turner (Right)
He was wishin' for a burner (Grrah)
To kill everybody walkin’ (Right)
He knows that his soul in the furnace (Git, git, git)
Fuck bitch on BET
Have her walkin' (Right), she fuckin' for BET
Wildin’ for wallet (Git, git, git)
Kill everybody walkin' (Right)
He knows that his soul in the furnace (Grrah)
Tiimmy, Tiimmy, Tiimmy Turner
He was wishin' for a burner
To kill everybody walkin'
He knows that his soul in the furnace
Fuck bitch on BET
Have her walkin', she fuckin' for BET
Wildin' for wallet
Kill everybody walkin'
He knows that his soul in the furnace
Tiimmy, Tiimmy, Tiimmy Turner26Embe"
